"Date","variable","Parameter","volume.group"
2013-05-20,"ar",0.514489869418266,"7"
2013-05-21,"ar",0.518091306856312,"7"
2013-01-21,"sf",0.00552574851150692,"7"
2013-01-22,"sf",0.00591332733730991,"7"
2013-01-23,"sf",0.00610787255236279,"7"
2013-01-24,"sf",0.0063029216355166,"7"
2013-01-25,"sf",0.00649847458677133,"7"
2013-01-26,"sf",0.00669453140612699,"7"
2013-01-27,"sf",0.00689109209358357,"7"
2013-01-28,"sf",0.00708815664914107,"7"
2013-01-29,"sf",0.0072857250727995,"7"
2013-01-30,"sf",0.00748379736455886,"7"
2013-01-31,"sf",0.00768237352441914,"7"
2013-02-01,"sf",0.00788145355238034,"7"
2013-02-02,"sf",0.00808103744844247,"7"
2013-02-03,"sf",0.00828112521260552,"7"
2013-02-04,"sf",0.0084817168448695,"7"
2013-02-05,"sf",0.0086828123452344,"7"
2013-02-06,"sf",0.00888441171370023,"7"
2013-02-07,"sf",0.00908651495026698,"7"
2013-02-08,"sf",0.00928912205493466,"7"
2013-02-09,"sf",0.00949223302770326,"7"
2013-02-10,"sf",0.00969584786857279,"7"
2013-02-11,"sf",0.00989996657754324,"7"
2013-02-12,"sf",0.0101045891546146,"7"
2013-02-13,"sf",0.0103097155997869,"7"
2013-02-14,"sf",0.0105153459130601,"7"
2013-02-15,"sf",0.0107214800944343,"7"
2013-02-16,"sf",0.0109281181439094,"7"
2013-02-17,"sf",0.0111352600614854,"7"
2013-02-18,"sf",0.0113429058471623,"7"
2013-02-19,"sf",0.0115510555009401,"7"
2013-02-20,"sf",0.0117597090228189,"7"
2013-02-21,"sf",0.0119688664127986,"7"
2013-02-22,"sf",0.0121785276708792,"7"
2013-02-23,"sf",0.0123886927970608,"7"
2013-02-24,"sf",0.0125993617913433,"7"
2013-02-25,"sf",0.0128105346537266,"7"
2013-02-26,"sf",0.013022211384211,"7"
2013-02-27,"sf",0.0132343919827962,"7"
2013-02-28,"sf",0.0134470764494824,"7"
2013-03-01,"sf",0.0136602647842695,"7"
2013-03-02,"sf",0.0138739569871575,"7"
2013-03-03,"sf",0.0140881530581465,"7"
2013-03-04,"sf",0.0143028529972363,"7"
2013-03-05,"sf",0.0145180568044271,"7"
2013-03-06,"sf",0.0147337644797188,"7"
2013-03-07,"sf",0.0149499760231115,"7"
2013-03-08,"sf",0.015166691434605,"7"
2013-03-09,"sf",0.0153839107141995,"7"
2013-03-10,"sf",0.015601633861895,"7"
2013-03-11,"sf",0.0158198608776913,"7"
